system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00071] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  D   display_settings.c:506  _al_score_display_settings       [   0.01294] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01296] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01298] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01299] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01301] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01303] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01305] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01306] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01308] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01310] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01315] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01317] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01319] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01321] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01322] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01324] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01326] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.01327] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01329] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01331] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01333] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01334] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01336] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01338] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01340] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01342] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01344] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01345] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01347] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01349] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01351] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01352] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01354] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01356] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01358] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01359] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01361] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01363] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01365] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01366] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01368] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01370] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01372] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01373] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01375] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01377] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01380] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01381] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01383] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01385] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01386] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01388] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01390] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01391] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01393] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01394] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01396] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01397] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01399] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01402] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01405] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01407] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01410] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01412] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01414] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01415] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01417] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01419] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01422] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01424] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01427] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01429] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01431] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01433] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01435] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01438] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01441] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01443] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01445] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01447] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01449] Score is : 513
display  D   display_settings.c:191  debug_display_settings           [   0.01452] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01454] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01457] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01461] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01464] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01466] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01467] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01469] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01471] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01472] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01474] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01475] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01477] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01479] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01480] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01482] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01484] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01485] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01487] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01488] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01490] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01493] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01496] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01497] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01499] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01502] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01505] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01506] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01509] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01511] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01512] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.01515] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.01542] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.01546] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.02501] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.03352] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.03362] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.03368] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.03376] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.03382] Returning d3d_display: 00670380
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.03386] al_display=00670380
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.03388] al_display->vt=006702C8
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.03509] Font consola.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.03514]     ascent=9.0, descent=-3.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.03517] added dtor for object 00666650, func 0F5C1B3B
dtor     D               dtor.c:184  _al_register_destructor          [   0.03520] added dtor for object 0069B010, func 0F5C27A7
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06342] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06345] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06347] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06348] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06350] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06351] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06353] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06354] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06355] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.06357] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.06359] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.06360] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.06362] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.06379] added dtor for object 006AAAB0, func 0F5C2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.06676] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.06685] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08817] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08821] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08823] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08824] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08826] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08828] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08829] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08831] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08832] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.08834] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.08836] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.08838] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.08840] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08866] added dtor for object 006AD848, func 0F5C2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.08915] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.08920] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.09688] Failed loading C:/Users/RESTIA/Documents/Visual Studio 2012/Projects/rectgrid-pathfinding/rectgrid-pathfinding/btChgFnc_rest.bmp with .bmp handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.10630] Failed loading C:/Users/RESTIA/Documents/Visual Studio 2012/Projects/rectgrid-pathfinding/rectgrid-pathfinding/btChgFnc_press.bmp with .bmp handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.11219] Failed loading C:/Users/RESTIA/Documents/Visual Studio 2012/Projects/rectgrid-pathfinding/rectgrid-pathfinding/btChoose_rest.bmp with .bmp handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.11752] Failed loading C:/Users/RESTIA/Documents/Visual Studio 2012/Projects/rectgrid-pathfinding/rectgrid-pathfinding/btChoose_press.bmp with .bmp handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.12522] Failed loading C:/Users/RESTIA/Documents/Visual Studio 2012/Projects/rectgrid-pathfinding/rectgrid-pathfinding/btStart_rest.bmp with .bmp handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.13087] Failed loading C:/Users/RESTIA/Documents/Visual Studio 2012/Projects/rectgrid-pathfinding/rectgrid-pathfinding/btStart_press.bmp with .bmp handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.13906] Failed loading C:/Users/RESTIA/Documents/Visual Studio 2012/Projects/rectgrid-pathfinding/rectgrid-pathfinding/btClear_rest.bmp with .bmp handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.14457] Failed loading C:/Users/RESTIA/Documents/Visual Studio 2012/Projects/rectgrid-pathfinding/rectgrid-pathfinding/btClear_press.bmp with .bmp handler.
dtor     D               dtor.c:114  _al_run_destructors              [   4.86285] calling dtor for object 006AD848, func 0F5C2595
dtor     D               dtor.c:214  _al_unregister_destructor        [   4.86303] removed dtor for object 006AD848
